time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,0,0,0,0,1,0,0
1s,0,0,0,0,0,0,0,1
2s,0,0,0,0,0,0,0,1
3s,0,0,0,0,0,0,0,1
4s,0,1,0,0,0,0,0,0
5s,0,0,0,0,0,0,0,0
6s,0,0,0,0,0,0,0,0
17s,0,0,0,0,0,0,0,1
18s,0,1,0,0,0,0,0,0
19s,0,1,0,0,0,0,0,0
20s,0,1,0,0,0,0,0,0
21s,1,0,0,0,0,0,0,0
22s,1,0,0,0,0,0,0,0
23s,0,0,0,0,0,0,0,1
24s,0,0,0,0,0,0,0,0
25s,0,0,0,0,0,1,0,0
26s,0,0,1,0,0,0,0,0
27s,0,0,1,0,0,0,0,0
28s,0,0,1,0,0,0,0,0
29s,0,0,1,0,0,0,0,0
30s,0,1,0,0,0,0,0,0
31s,0,1,0,0,0,0,0,0
32s,0,1,0,0,0,0,0,0
33s,0,1,0,0,0,0,0,0
47s,0,0,0,0,0,0,0,0
48s,0,0,0,0,0,0,0,0
49s,0,0,0,0,0,0,0,0
50s,0,1,0,0,0,0,0,0
51s,0,1,0,0,0,0,0,0
52s,0,1,0,0,0,0,0,0
53s,0,1,0,0,0,0,0,0
54s,0,1,0,0,0,0,0,0
55s,0,1,0,0,0,0,0,0
56s,0,1,0,0,0,0,0,0
57s,0,1,0,0,0,0,0,0
58s,0,1,0,0,0,0,0,0
59s,1,0,0,0,0,0,0,0
60s,1,0,0,0,0,0,0,0
61s,1,0,0,0,0,0,0,0
62s,0,0,0,0,0,0,0,0
63s,0,0,0,0,0,1,0,0
64s,0,0,0,0,0,1,0,0
65s,0,0,0,0,0,1,0,0
66s,0,0,0,0,0,1,0,0
67s,0,0,0,0,0,1,0,0
68s,0,0,0,0,0,0,0,0
69s,0,0,0,0,0,1,0,0
70s,0,0,0,0,0,0,0,0
71s,0,0,0,0,0,0,0,0
72s,0,0,0,0,0,0,0,1
73s,0,0,0,0,0,0,0,0
74s,0,0,0,0,0,0,0,1
75s,0,0,0,0,0,0,0,1
76s,0,0,0,0,0,0,0,0
77s,0,0,0,0,0,0,0,0
78s,0,0,0,0,0,0,0,0
79s,0,0,0,0,0,0,0,0
80s,0,0,0,0,0,0,0,0
81s,0,0,0,0,0,0,0,0
82s,0,0,0,0,0,0,0,0
83s,0,0,0,0,0,0,0,0
84s,0,0,0,0,0,1,0,0
85s,0,0,0,0,0,1,0,0
86s,0,0,0,0,0,1,0,0
87s,0,0,0,0,0,1,0,0
88s,0,0,0,0,0,1,0,0
89s,0,1,0,0,0,0,0,0
90s,0,1,0,0,0,0,0,0
91s,0,1,0,0,0,0,0,0
92s,1,0,0,0,0,0,0,0
93s,0,0,0,0,0,0,0,1
94s,0,0,0,0,0,1,0,0
95s,0,0,0,0,0,1,0,0
96s,0,0,0,0,0,0,0,1
97s,0,0,0,0,0,0,0,1
98s,0,0,0,0,0,1,0,0
99s,0,0,0,0,0,0,0,1
100s,0,0,0,0,0,0,0,1
101s,0,0,0,0,0,0,0,1
102s,0,0,1,0,0,0,0,0
103s,0,0,1,0,0,0,0,0
104s,0,0,1,0,0,0,0,0
105s,0,1,0,0,0,0,0,0
106s,0,1,0,0,0,0,0,0
107s,0,1,0,0,0,0,0,0
108s,1,0,0,0,0,0,0,0
109s,0,1,0,0,0,0,0,0
110s,0,1,0,0,0,0,0,0
111s,0,0,0,0,0,1,0,0
148s,0,0,1,0,0,0,0,0
149s,0,0,1,0,0,0,0,0
150s,0,0,1,0,0,0,0,0
151s,0,0,1,0,0,0,0,0
152s,0,0,1,0,0,0,0,0
153s,0,0,1,0,0,0,0,0
154s,0,0,1,0,0,0,0,0
155s,0,0,0,0,0,0,0,0
156s,0,0,0,0,0,0,0,0
157s,0,0,0,0,0,0,0,0
158s,0,0,0,0,0,0,0,0
159s,0,0,0,0,0,0,0,0
160s,0,0,0,0,0,0,0,0
161s,0,0,0,0,0,0,0,0
162s,0,0,0,0,0,0,0,0
163s,0,0,0,0,0,0,0,0
164s,1,0,0,0,0,0,0,0
165s,1,0,0,0,0,0,0,0
166s,1,0,0,0,0,0,0,0
167s,0,0,0,0,0,0,0,1
168s,0,0,0,0,0,0,0,0
169s,0,0,1,0,0,0,0,0
170s,0,0,0,0,0,0,0,1
171s,0,0,0,0,0,0,0,1
172s,0,0,0,0,0,0,0,0
173s,0,0,0,0,0,0,0,0
174s,0,0,0,0,0,0,0,0
175s,0,0,0,0,0,0,0,0
176s,0,0,0,0,0,0,0,0
177s,0,1,0,0,0,0,0,0
178s,0,1,0,0,0,0,0,0
179s,0,1,0,0,0,0,0,0
180s,0,1,0,0,0,0,0,0
181s,0,0,0,0,0,0,0,0
197s,0,0,0,0,0,0,0,1
198s,0,0,0,0,0,0,0,0
199s,0,0,0,0,0,0,0,1
200s,0,0,0,0,0,0,0,0
201s,0,0,0,0,0,0,0,0
202s,0,0,0,0,0,0,0,0
203s,0,0,0,0,0,0,0,0
204s,0,0,0,0,0,0,0,0
205s,0,0,0,0,0,0,0,0
206s,0,0,0,0,0,0,0,0
207s,0,0,0,0,0,0,0,0
208s,0,0,0,1,0,0,0,0
209s,0,0,0,0,0,0,0,0
210s,0,0,0,0,0,0,0,0
211s,0,0,0,0,0,0,0,0
212s,0,1,0,0,0,0,0,0
228s,0,0,0,0,0,0,0,1
229s,0,0,0,0,0,0,0,1
230s,0,0,0,0,0,0,0,1
231s,0,0,0,0,0,0,0,1
232s,0,0,0,0,0,0,0,1
233s,0,0,0,0,0,0,0,1
234s,0,1,0,0,0,0,0,0
235s,0,1,0,0,0,0,0,0
236s,0,1,0,0,0,0,0,0
237s,0,1,0,0,0,0,0,0
238s,0,1,0,0,0,0,0,0
239s,0,1,0,0,0,0,0,0
