time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,1,0,0,0,0,0,0
1s,0,1,0,0,0,0,0,0
2s,0,1,0,0,0,0,0,0
3s,0,1,0,0,0,0,0,0
4s,0,1,0,0,0,0,0,0
5s,1,0,0,0,0,0,0,0
6s,1,0,0,0,0,0,0,0
7s,0,0,0,0,0,1,0,0
8s,0,0,0,0,0,1,0,0
9s,0,0,0,0,0,1,0,0
10s,0,0,0,0,0,1,0,0
11s,0,0,0,1,0,0,0,0
12s,0,0,0,0,0,0,0,1
13s,0,0,0,0,0,0,0,1
14s,0,0,0,0,0,0,0,1
15s,0,0,0,0,0,0,0,1
16s,0,0,0,0,0,0,0,1
17s,0,0,0,0,0,0,0,1
18s,0,0,0,0,0,0,0,1
36s,0,0,0,0,0,0,0,1
37s,0,0,0,0,0,0,0,1
38s,0,0,0,0,0,0,0,1
39s,0,0,0,0,0,1,0,0
40s,0,0,0,0,0,1,0,0
41s,0,0,0,0,0,1,0,0
42s,0,0,0,0,0,1,0,0
43s,0,0,0,0,0,1,0,0
44s,0,0,0,0,0,1,0,0
45s,0,0,0,0,0,1,0,0
46s,0,0,0,0,0,1,0,0
47s,0,0,0,0,0,0,0,1
48s,0,0,0,0,0,0,0,1
49s,0,0,0,0,0,0,0,1
50s,0,0,0,0,0,0,0,1
51s,0,0,0,0,0,0,0,1
52s,1,0,0,0,0,0,0,0
53s,1,0,0,0,0,0,0,0
54s,0,0,0,0,0,1,0,0
55s,0,0,0,0,0,1,0,0
56s,0,0,0,0,0,1,0,0
57s,0,0,0,0,0,0,0,1
58s,0,0,0,0,0,0,0,1
59s,0,0,0,0,0,0,1,0
60s,0,0,0,0,0,0,0,1
61s,0,1,0,0,0,0,0,0
62s,0,0,0,0,0,0,0,1
63s,0,1,0,0,0,0,0,0
64s,0,0,0,0,0,0,0,1
65s,0,0,0,0,0,0,0,1
66s,0,1,0,0,0,0,0,0
67s,0,1,0,0,0,0,0,0
68s,0,1,0,0,0,0,0,0
69s,0,0,0,0,0,0,0,1
70s,0,0,0,0,0,0,1,0
71s,0,0,0,0,0,0,0,1
72s,0,0,0,0,0,0,0,1
73s,0,0,0,0,0,0,0,1
96s,0,0,0,0,0,1,0,0
97s,0,0,0,0,0,1,0,0
98s,0,0,0,0,0,1,0,0
99s,0,0,0,0,0,0,0,1
100s,0,0,0,0,0,0,0,1
101s,0,0,0,0,0,0,0,1
102s,0,0,0,0,0,0,0,1
103s,0,0,0,0,0,0,0,1
104s,0,0,0,0,0,1,0,0
105s,0,0,0,0,0,1,0,0
106s,0,0,0,0,0,1,0,0
107s,0,0,0,0,0,1,0,0
108s,0,0,0,0,0,0,0,1
109s,0,0,0,0,0,1,0,0
110s,0,0,0,0,0,1,0,0
111s,0,0,0,0,0,1,0,0
112s,0,0,0,0,0,1,0,0
113s,0,0,0,0,0,0,1,0
114s,0,0,0,0,0,0,0,1
115s,0,0,0,0,0,0,0,1
116s,0,0,0,0,0,0,0,1
117s,0,0,0,0,0,0,0,1
118s,0,0,0,0,0,0,0,1
119s,0,0,0,0,0,1,0,0
120s,0,0,0,0,0,1,0,0
121s,0,0,0,0,0,0,0,1
122s,0,0,0,0,0,0,0,1
123s,0,0,0,0,0,0,0,1
124s,0,0,0,0,0,0,1,0
125s,0,0,0,0,0,0,0,1
126s,0,0,0,0,0,0,0,1
127s,0,0,0,0,0,0,0,1
128s,0,0,0,0,0,0,0,1
129s,0,0,0,0,0,0,0,1
130s,0,0,0,0,0,0,0,1
131s,0,0,0,0,0,0,0,1
140s,0,0,0,0,0,1,0,0
141s,0,0,0,0,0,1,0,0
142s,0,0,0,0,0,1,0,0
143s,0,0,0,0,0,0,0,1
144s,0,0,0,0,0,0,0,1
145s,0,0,0,0,0,0,0,1
146s,0,0,0,0,0,0,0,1
147s,0,0,0,0,0,0,0,1
148s,0,0,0,0,0,0,0,1
149s,1,0,0,0,0,0,0,0
150s,0,0,0,0,0,0,0,1
151s,0,0,0,0,0,0,0,1
152s,0,0,0,0,0,0,0,1
153s,0,0,0,0,0,0,0,1
154s,0,0,0,0,0,0,0,1
155s,0,0,0,0,0,0,0,1
156s,0,1,0,0,0,0,0,0
157s,0,1,0,0,0,0,0,0
158s,0,0,0,0,0,0,0,1
159s,0,0,0,0,0,0,0,1
160s,0,1,0,0,0,0,0,0
161s,0,1,0,0,0,0,0,0
162s,0,1,0,0,0,0,0,0
163s,0,0,0,0,0,0,0,1
164s,0,1,0,0,0,0,0,0
165s,0,1,0,0,0,0,0,0
166s,0,1,0,0,0,0,0,0
181s,0,0,0,0,0,1,0,0
182s,0,0,0,0,0,0,0,1
183s,0,0,0,0,0,1,0,0
184s,0,0,0,0,0,0,0,1
185s,0,0,0,0,0,0,0,1
186s,0,0,0,0,0,0,0,1
187s,0,0,0,0,0,0,0,1
188s,0,0,0,0,0,0,0,1
189s,0,0,0,0,0,0,0,1
190s,0,0,0,0,0,0,0,1
191s,0,0,0,0,0,0,0,1
192s,0,0,0,0,0,0,0,1
193s,0,0,0,0,0,1,0,0
194s,0,0,0,0,0,1,0,0
195s,0,0,0,0,0,1,0,0
196s,0,0,0,0,0,1,0,0
197s,0,0,0,0,0,1,0,0
198s,0,0,0,0,0,1,0,0
199s,0,0,0,0,0,0,0,1
200s,0,0,0,0,0,0,0,1
201s,0,0,0,0,0,1,0,0
202s,0,0,0,0,0,0,0,1
203s,0,0,0,0,0,0,0,1
204s,0,0,0,0,0,0,0,1
205s,0,0,0,0,0,1,0,0
206s,0,0,0,0,0,0,0,1
207s,0,0,0,0,0,0,0,1
208s,0,0,0,0,0,0,0,1
209s,0,0,0,0,0,0,0,1
210s,0,0,0,0,0,0,0,1
211s,0,0,0,0,0,0,0,1
212s,0,0,0,0,0,0,0,1
213s,0,0,0,0,0,0,0,1
214s,0,0,0,0,0,0,0,1
215s,0,0,0,0,0,0,0,1
223s,0,0,0,0,0,0,0,1
224s,0,0,0,0,0,0,0,1
225s,0,0,0,0,0,0,0,1
226s,0,0,0,0,0,0,0,1
227s,0,0,0,0,0,0,0,1
228s,0,0,0,0,0,0,0,1
229s,0,0,0,0,0,0,0,1
230s,0,0,0,0,0,0,0,1
231s,0,0,0,0,0,0,0,1
232s,0,0,0,0,0,0,0,1
233s,0,0,0,0,0,0,0,1
234s,0,0,0,0,0,1,0,0
235s,0,0,0,0,0,0,0,1
236s,0,0,0,0,0,0,0,1
237s,0,1,0,0,0,0,0,0
238s,0,1,0,0,0,0,0,0
239s,0,1,0,0,0,0,0,0
