time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,1,0,0,0,0,0,0
1s,0,1,0,0,0,0,0,0
2s,0,1,0,0,0,0,0,0
3s,0,0,0,0,0,0,0,1
4s,0,1,0,0,0,0,0,0
5s,0,1,0,0,0,0,0,0
6s,0,1,0,0,0,0,0,0
7s,0,1,0,0,0,0,0,0
8s,0,1,0,0,0,0,0,0
9s,0,1,0,0,0,0,0,0
10s,0,1,0,0,0,0,0,0
11s,0,1,0,0,0,0,0,0
12s,0,1,0,0,0,0,0,0
13s,0,1,0,0,0,0,0,0
14s,0,1,0,0,0,0,0,0
15s,0,1,0,0,0,0,0,0
16s,1,0,0,0,0,0,0,0
17s,1,0,0,0,0,0,0,0
18s,1,0,0,0,0,0,0,0
19s,0,0,0,0,0,0,0,1
20s,1,0,0,0,0,0,0,0
21s,0,0,0,0,0,0,0,1
22s,0,0,0,0,0,0,0,1
23s,0,0,0,0,0,1,0,0
24s,0,0,0,0,0,1,0,0
25s,0,0,0,0,0,0,0,1
26s,0,0,0,0,0,0,0,1
27s,0,0,0,0,0,0,0,1
28s,0,0,0,0,0,0,0,1
29s,0,0,0,0,0,0,0,1
30s,0,0,0,0,0,0,0,1
31s,0,1,0,0,0,0,0,0
32s,0,0,0,1,0,0,0,0
33s,0,1,0,0,0,0,0,0
34s,0,1,0,0,0,0,0,0
46s,0,1,0,0,0,0,0,0
47s,0,1,0,0,0,0,0,0
48s,0,1,0,0,0,0,0,0
49s,0,1,0,0,0,0,0,0
50s,0,1,0,0,0,0,0,0
51s,0,1,0,0,0,0,0,0
52s,0,1,0,0,0,0,0,0
53s,0,1,0,0,0,0,0,0
54s,0,1,0,0,0,0,0,0
55s,0,1,0,0,0,0,0,0
56s,0,1,0,0,0,0,0,0
57s,0,1,0,0,0,0,0,0
58s,0,1,0,0,0,0,0,0
59s,0,1,0,0,0,0,0,0
60s,0,1,0,0,0,0,0,0
61s,0,1,0,0,0,0,0,0
62s,0,1,0,0,0,0,0,0
63s,0,1,0,0,0,0,0,0
64s,0,1,0,0,0,0,0,0
65s,0,1,0,0,0,0,0,0
66s,0,0,0,0,0,1,0,0
67s,1,0,0,0,0,0,0,0
68s,1,0,0,0,0,0,0,0
69s,1,0,0,0,0,0,0,0
70s,0,0,0,0,0,1,0,0
71s,0,0,0,0,0,1,0,0
72s,0,0,0,0,0,1,0,0
73s,0,0,0,0,0,1,0,0
74s,0,0,0,0,0,1,0,0
75s,0,0,0,0,0,1,0,0
76s,0,0,0,0,0,1,0,0
77s,0,0,0,0,0,1,0,0
78s,0,0,0,0,0,1,0,0
79s,0,0,0,0,0,1,0,0
80s,0,0,0,0,0,1,0,0
81s,0,0,0,0,0,1,0,0
82s,0,0,0,0,0,1,0,0
83s,0,0,0,0,0,1,0,0
84s,0,0,0,0,0,0,0,1
85s,0,0,0,0,0,0,0,1
86s,0,0,0,0,0,0,0,1
87s,0,0,0,0,0,0,0,1
88s,0,0,0,0,0,0,0,1
89s,0,0,0,0,0,0,0,1
90s,0,0,0,0,0,0,0,1
91s,0,0,0,0,0,0,0,1
92s,0,0,0,0,0,0,0,1
93s,0,0,0,0,0,0,0,1
94s,0,0,0,0,0,0,0,1
95s,0,0,0,0,0,1,0,0
96s,0,0,0,0,0,0,0,1
97s,0,0,0,0,0,0,0,1
98s,0,0,0,0,0,0,0,1
99s,0,0,0,0,0,0,0,1
100s,0,0,0,0,0,0,0,1
101s,0,0,0,0,0,0,0,1
102s,0,0,0,0,0,0,0,1
103s,0,0,0,0,0,0,0,1
104s,0,0,0,0,0,0,0,1
105s,0,0,0,0,0,0,0,1
106s,0,0,0,0,0,0,0,1
107s,0,0,0,0,0,0,0,1
108s,0,1,0,0,0,0,0,0
109s,0,1,0,0,0,0,0,0
110s,0,1,0,0,0,0,0,0
111s,0,1,0,0,0,0,0,0
112s,0,1,0,0,0,0,0,0
113s,0,1,0,0,0,0,0,0
114s,0,1,0,0,0,0,0,0
115s,0,0,0,0,0,1,0,0
116s,1,0,0,0,0,0,0,0
117s,1,0,0,0,0,0,0,0
118s,1,0,0,0,0,0,0,0
119s,0,0,0,0,0,0,0,1
120s,0,0,0,0,0,0,0,1
121s,0,0,0,0,0,0,0,1
122s,0,0,0,0,0,0,0,1
123s,0,0,0,0,0,0,0,1
124s,0,0,0,0,0,0,0,1
125s,0,0,0,0,0,0,0,1
126s,0,0,0,0,0,0,0,1
127s,0,0,0,0,0,0,0,1
128s,0,0,0,0,0,0,0,1
129s,0,0,0,0,0,0,0,1
130s,0,0,0,0,0,0,0,1
131s,0,1,0,0,0,0,0,0
132s,0,1,0,0,0,0,0,0
133s,0,1,0,0,0,0,0,0
134s,0,1,0,0,0,0,0,0
135s,0,1,0,0,0,0,0,0
136s,0,1,0,0,0,0,0,0
137s,0,1,0,0,0,0,0,0
138s,0,1,0,0,0,0,0,0
139s,0,1,0,0,0,0,0,0
140s,0,1,0,0,0,0,0,0
141s,0,1,0,0,0,0,0,0
142s,0,1,0,0,0,0,0,0
143s,0,1,0,0,0,0,0,0
144s,0,1,0,0,0,0,0,0
145s,0,0,0,0,0,0,0,1
146s,0,1,0,0,0,0,0,0
147s,0,1,0,0,0,0,0,0
148s,0,1,0,0,0,0,0,0
149s,0,0,0,0,0,0,0,1
150s,0,1,0,0,0,0,0,0
151s,0,0,0,0,0,0,0,1
152s,0,0,0,0,0,0,0,1
153s,0,0,0,0,0,0,0,1
154s,0,0,0,0,0,0,0,1
155s,0,0,0,0,0,0,0,1
156s,0,0,0,0,0,0,0,1
157s,0,0,0,0,0,0,0,1
158s,0,0,0,0,0,0,0,1
159s,0,0,0,0,0,0,0,1
160s,0,0,0,0,0,0,0,1
161s,1,0,0,0,0,0,0,0
162s,0,0,0,0,0,0,0,1
163s,1,0,0,0,0,0,0,0
164s,0,1,0,0,0,0,0,0
165s,0,0,0,0,0,0,0,1
166s,0,0,0,0,0,0,0,1
167s,0,0,0,0,0,0,0,1
168s,0,0,0,0,0,0,0,1
169s,0,0,0,0,0,0,0,1
170s,0,0,0,0,0,0,0,1
171s,0,0,0,0,0,0,0,1
172s,0,0,0,0,0,0,0,1
173s,0,0,0,0,0,0,0,1
174s,0,0,0,0,0,0,0,1
193s,0,0,0,0,0,0,0,1
194s,0,1,0,0,0,0,0,0
195s,0,1,0,0,0,0,0,0
196s,0,1,0,0,0,0,0,0
197s,0,1,0,0,0,0,0,0
198s,0,1,0,0,0,0,0,0
199s,0,1,0,0,0,0,0,0
200s,0,1,0,0,0,0,0,0
